"filename", "language", "JavaScript", "JSON with Comments", "JSON", "Markdown", "Objective-C", "Objective-C++", "C++", "XML", "Groovy", "Properties", "Batch", "Makefile", "Java", "comment", "blank", "total"
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\ios\ml9ja\Images.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\ios\ml9ja\Images.xcassets\Contents.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\ios\ml9ja\Images.xcassets\SplashScreen.imageset\Contents.json", "JSON", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\ios\ml9ja\Images.xcassets\SplashScreenBackground.imageset\Contents.json", "JSON", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\ios\ml9ja\SplashScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 1, 1, 92
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\ios\ml9ja\main.m", "Objective-C", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\metro.config.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\package-lock.json", "JSON", 0, 0, 26779, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26780
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\package.json", "JSON", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 43
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\sanity.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\sanity\README.md", "Markdown", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\sanity\config\@sanity\data-aspects.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\sanity\config\@sanity\default-layout.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\sanity\config\@sanity\default-login.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\sanity\config\@sanity\form-builder.json", "JSON", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\sanity\config\@sanity\vision.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\sanity\package.json", "JSON", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 32
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\sanity\sanity.json", "JSON", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 30
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\sanity\schemas\author.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 49
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\sanity\schemas\category.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\sanity\schemas\news.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 42
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\sanity\schemas\schema.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 24
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\sanity\tsconfig.json", "JSON with Comments", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 7
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\screens\AuthenticationScreen\AuthenticationStack.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\screens\AuthenticationScreen\LoginScreen.js", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 36, 144
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\screens\AuthenticationScreen\SignupScreen.js", "JavaScript", 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 33, 147
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\screens\AuthenticationScreen\StartingScreen.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 43
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\screens\EventsScreen\EventsScreen.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\screens\EventsScreen\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\screens\HomeChildScreens\ContentScreen.js", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 61
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\screens\HomeChildScreens\FantasyScreen.js", "JavaScript", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 85
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\screens\HomeChildScreens\GauntletScreen.js", "JavaScript", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 85
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\screens\HomeChildScreens\GistScreen.js", "JavaScript", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 84
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\screens\HomeChildScreens\MLNewsScreen.js", "JavaScript", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 84
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\screens\HomeScreen\HomeScreen.js", "JavaScript", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 86
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\screens\HomeScreen\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\screens\ProfileScreen\ProfileScreen.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\screens\ProfileScreen\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\screens\RootStackScreen\RootStackScreen.js", "JavaScript", 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 155
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\screens\RootStackScreen\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\screens\TournieScreen\TournieScreen.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\screens\TournieScreen\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\tailwind.config.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 9
"Total", "-", 1246, 3, 27002, 8, 7, 107, 166, 157, 251, 15, 68, 28, 312, 364, 591, 30325
